,title,salary,link,site
0,Python Developer (Backend),"{'min_salary': 190000, 'max_salary': 'not salary', 'currency': 'руб.'}",https://nn.hh.ru/vacancy/48336337?from=vacancy_search_list&query=python%20developer,https://hh.ru
1,Python Middle Developer,"{'min_salary': 200000, 'max_salary': 240000, 'currency': 'руб.'}",https://nn.hh.ru/vacancy/48326313?from=vacancy_search_list&query=python%20developer,https://hh.ru
2,Senior Python developer,"{'min_salary': 4000, 'max_salary': 6000, 'currency': 'USD'}",https://nn.hh.ru/vacancy/48297901?from=vacancy_search_list&query=python%20developer,https://hh.ru
3,Senior Python developer,"{'min_salary': 4000, 'max_salary': 6000, 'currency': 'USD'}",https://nn.hh.ru/vacancy/48297902?from=vacancy_search_list&query=python%20developer,https://hh.ru
4,Python-разработчик,"{'min_salary': 'not salary', 'max_salary': 'not salary', 'currency': 'not salary'}",https://nn.hh.ru/vacancy/47967656?from=vacancy_search_list&query=python%20developer,https://hh.ru
5,Developer Advocate / Developer Evangelist / Software Engineer,"{'min_salary': 210000, 'max_salary': 360000, 'currency': 'руб.'}",https://nn.hh.ru/vacancy/48349290?from=vacancy_search_list&query=python%20developer,https://hh.ru
6,Python developer,"{'min_salary': 'not salary', 'max_salary': 'not salary', 'currency': 'not salary'}",https://nn.hh.ru/vacancy/48331830?from=vacancy_search_list&query=python%20developer,https://hh.ru
7,Developer Advocate / Developer Evangelist / Software Engineer,"{'min_salary': 210000, 'max_salary': 360000, 'currency': 'руб.'}",https://nn.hh.ru/vacancy/48349289?from=vacancy_search_list&query=python%20developer,https://hh.ru
8,Developer Advocate / Developer Evangelist / Software Engineer,"{'min_salary': 210000, 'max_salary': 360000, 'currency': 'руб.'}",https://nn.hh.ru/vacancy/48349288?from=vacancy_search_list&query=python%20developer,https://hh.ru
9,Team Lead Python Engineer,"{'min_salary': 'not salary', 'max_salary': 8000, 'currency': 'USD'}",https://nn.hh.ru/vacancy/48251626?from=vacancy_search_list&query=python%20developer,https://hh.ru
10,Middle Python developer,"{'min_salary': 'not salary', 'max_salary': 'not salary', 'currency': 'not salary'}",https://nn.hh.ru/vacancy/48217396?from=vacancy_search_list&query=python%20developer,https://hh.ru
11,Data Scientist,"{'min_salary': 'not salary', 'max_salary': 'not salary', 'currency': 'not salary'}",https://nn.hh.ru/vacancy/47377173?from=vacancy_search_list&query=python%20developer,https://hh.ru
12,Middle Python developer(team lead),"{'min_salary': 'not salary', 'max_salary': 'not salary', 'currency': 'not salary'}",https://nn.hh.ru/vacancy/47530291?from=vacancy_search_list&query=python%20developer,https://hh.ru
13,Senior Machine Learning Engineer,"{'min_salary': 'not salary', 'max_salary': 'not salary', 'currency': 'not salary'}",https://nn.hh.ru/vacancy/48212663?from=vacancy_search_list&query=python%20developer,https://hh.ru
14,Junior Python Developer (Backend),"{'min_salary': 'not salary', 'max_salary': 'not salary', 'currency': 'not salary'}",https://nn.hh.ru/vacancy/48331614?from=vacancy_search_list&query=python%20developer,https://hh.ru
15,Python разработчик,"{'min_salary': 'not salary', 'max_salary': 380000, 'currency': 'руб.'}",https://nn.hh.ru/vacancy/47682360?from=vacancy_search_list&query=python%20developer,https://hh.ru
16,Python Developer (стажер),"{'min_salary': 'not salary', 'max_salary': 'not salary', 'currency': 'not salary'}",https://nn.hh.ru/vacancy/48302705?from=vacancy_search_list&query=python%20developer,https://hh.ru
17,Junior Python developer,"{'min_salary': 30000, 'max_salary': 70000, 'currency': 'руб.'}",https://nn.hh.ru/vacancy/48361866?from=vacancy_search_list&query=python%20developer,https://hh.ru
18,Junior Data Engineer (Python),"{'min_salary': 120000, 'max_salary': 120000, 'currency': 'руб.'}",https://nn.hh.ru/vacancy/47914759?from=vacancy_search_list&query=python%20developer,https://hh.ru
19,Junior Python developer (в Сочи),"{'min_salary': 65000, 'max_salary': 'not salary', 'currency': 'руб.'}",https://nn.hh.ru/vacancy/47110879?from=vacancy_search_list&query=python%20developer,https://hh.ru
20,Python backend developer,"{'min_salary': 220000, 'max_salary': 350000, 'currency': 'руб.'}",https://nn.hh.ru/vacancy/48278010?from=vacancy_search_list&query=python%20developer,https://hh.ru
